Algorithm,Size,Type,Time (nanoseconds)
PassPerItem,100,Integer,32704
PassPerItem,100,Integer,31767
PassPerItem,100,Integer,32341
PassPerItem,100,Integer,31546
PassPerItem,100,Integer,31716
PassPerItem,100,Integer,31772
PassPerItem,100,Integer,31649
PassPerItem,100,Integer,31882
PassPerItem,100,Integer,31809
PassPerItem,100,Integer,31703
PassPerItem,100,Integer,31776
PassPerItem,100,Integer,31753
PassPerItem,100,Integer,32116
PassPerItem,100,Integer,31638
PassPerItem,100,Integer,31677
PassPerItem,100,Integer,31636
PassPerItem,100,Integer,31729
PassPerItem,100,Integer,31779
PassPerItem,100,Integer,31823
PassPerItem,100,Integer,31861
PassPerItem,100,Integer,31645
PassPerItem,100,Integer,32254
PassPerItem,100,Integer,31668
PassPerItem,100,Integer,31708
PassPerItem,100,Integer,31644
PassPerItem,100,Integer,31786
PassPerItem,100,Integer,39357
PassPerItem,100,Integer,31842
PassPerItem,100,Integer,31921
PassPerItem,100,Integer,31787
PassPerItem,100,Integer,34395
PassPerItem,100,Integer,47304
PassPerItem,100,Integer,31711
PassPerItem,100,Integer,31546
PassPerItem,100,Integer,31654
PassPerItem,100,Integer,31498
PassPerItem,100,Integer,31910
PassPerItem,100,Integer,31559
PassPerItem,100,Integer,31636
PassPerItem,100,Integer,31482
PassPerItem,100,Integer,31841
PassPerItem,100,Integer,31858
PassPerItem,100,Integer,31561
PassPerItem,100,Integer,31664
PassPerItem,100,Integer,32182
PassPerItem,100,Integer,31548
PassPerItem,100,Integer,31722
PassPerItem,100,Integer,31650
PassPerItem,100,Integer,31705
PassPerItem,100,Integer,31865
PassPerItem,100,Integer,31560
PassPerItem,100,Integer,31550
PassPerItem,100,Integer,31840
PassPerItem,100,Integer,31556
PassPerItem,100,Integer,32125
PassPerItem,100,Integer,31642
PassPerItem,100,Integer,31476
PassPerItem,100,Integer,31579
PassPerItem,100,Integer,31544
PassPerItem,100,Integer,31717
PassPerItem,100,Integer,31599
PassPerItem,100,Integer,31771
PassPerItem,100,Integer,31780
PassPerItem,100,Integer,32318
PassPerItem,100,Integer,31586
PassPerItem,100,Integer,31629
PassPerItem,100,Integer,31714
PassPerItem,100,Integer,31645
PassPerItem,100,Integer,31770
PassPerItem,100,Integer,31663
PassPerItem,100,Integer,31898
PassPerItem,100,Integer,44096
PassPerItem,100,Integer,31755
PassPerItem,100,Integer,31977
PassPerItem,100,Integer,31561
PassPerItem,100,Integer,31530
PassPerItem,100,Integer,31635
