Algorithm,Size,Type,Time (nanoseconds),,,,,,,,,
PassPerItem,100,Integer,86868,,Type,Size,Algo,Minimum,First Quartile,Median,Third Quartile,Maximum
PassPerItem,100,Integer,50700,,Integer,100,PassPerItem,49849,50072.25,50305,50823.25,87383
PassPerItem,100,Integer,50520,,Integer,100,UntilNoChange,56743,56919,57062.5,57454.75,103155
PassPerItem,100,Integer,50025,,Integer,100,WhileNeeded,33438,33497,33590.5,33783,69363
PassPerItem,100,Integer,50555,,Integer,1000,PassPerItem,9606169,9640385.25,9665675.5,9751959,31493496
PassPerItem,100,Integer,50205,,Integer,1000,UntilNoChange,9548539,9562598.25,9575979,9774657.25,31540566
PassPerItem,100,Integer,50448,,Integer,1000,WhileNeeded,5481906,5497358,5507044.5,5569725.5,17908919
PassPerItem,100,Integer,50241,,Integer,5000,PassPerItem,208339306,210349568.25,212377403,219466911,263363715
PassPerItem,100,Integer,50821,,Integer,5000,UntilNoChange,210984559,211619505,214544312,227371025,298996133
PassPerItem,100,Integer,50244,,Integer,5000,WhileNeeded,122377714,122787499.25,124621142.5,132163162.25,173597924
PassPerItem,100,Integer,50640,,,,,,,,,
PassPerItem,100,Integer,50577,,Byte,100,PassPerItem,58537,58767,58962,59417.5,99756
PassPerItem,100,Integer,57752,,Byte,100,UntilNoChange,57709,58161,58315,58756.5,104337
PassPerItem,100,Integer,50310,,Byte,100,WhileNeeded,42912,43022,43133.5,43428.75,75806
PassPerItem,100,Integer,50914,,Byte,1000,PassPerItem,9548899,9708790.5,9747377.5,9877974.25,17988696
PassPerItem,100,Integer,50195,,Byte,1000,UntilNoChange,9859162,10082391.25,10123996.5,10387197,17207286
PassPerItem,100,Integer,50315,,Byte,1000,WhileNeeded,5687054,5857501.25,5881009,5975959,14572419
PassPerItem,100,Integer,49871,,Byte,5000,PassPerItem,205850426,209231702.25,211795538.5,214074123.75,241904366
PassPerItem,100,Integer,50018,,Byte,5000,UntilNoChange,215364048,216803602.75,219137714.5,222237530,249848903
PassPerItem,100,Integer,50051,,Byte,5000,WhileNeeded,123721801,125714371.75,126542951,129139103,151971814
PassPerItem,100,Integer,50220,,,,,,,,,
PassPerItem,100,Integer,50137,,String,100,PassPerItem,250506,260686.5,262295.5,264387.75,361708
PassPerItem,100,Integer,50154,,String,100,UntilNoChange,252842,264190.25,265836,268569.25,300527
PassPerItem,100,Integer,50706,,String,100,WhileNeeded,121714,126997,127923,129112,158237
PassPerItem,100,Integer,50186,,String,1000,PassPerItem,117837056,119357544.75,121274971,123099459.5,143828360
PassPerItem,100,Integer,50448,,String,1000,UntilNoChange,117809620,119980489.25,121655667,123569399.75,140236909
PassPerItem,100,Integer,50400,,String,1000,WhileNeeded,45292694,45868371,46430085.5,47424168.25,57093293
PassPerItem,100,Integer,50279,,String,5000,PassPerItem,25781857712,26383544198.25,26828103498.5,27380123071.5,29426932848
PassPerItem,100,Integer,50042,,String,5000,UntilNoChange,25842208867,26413720272.25,26818579971.5,27416407665,29207443631
PassPerItem,100,Integer,49922,,String,5000,WhileNeeded,8228578193,8406592124,8543826536.5,8635735719.75,9775953446
PassPerItem,100,Integer,50156,,,,,,,,,
PassPerItem,100,Integer,50204,,,,,,,,,
PassPerItem,100,Integer,70363,,,,,,,,,
PassPerItem,100,Integer,50955,,,,,,,,,
PassPerItem,100,Integer,50247,,,,,,,,,
PassPerItem,100,Integer,49863,,,,,,,,,
PassPerItem,100,Integer,50125,,,,,,,,,
PassPerItem,100,Integer,49992,,,,,,,,,
PassPerItem,100,Integer,49986,,,,,,,,,
PassPerItem,100,Integer,50059,,,,,,,,,
PassPerItem,100,Integer,49908,,,,,,,,,
PassPerItem,100,Integer,49957,,,,,,,,,
PassPerItem,100,Integer,50173,,,,,,,,,
PassPerItem,100,Integer,49998,,,,,,,,,
