Algorithm,Size,Type,Time (nanoseconds)
PassPerItem,100,Integer,51681
PassPerItem,100,Integer,51918
PassPerItem,100,Integer,52788
PassPerItem,100,Integer,53395
PassPerItem,100,Integer,50968
PassPerItem,100,Integer,52496
PassPerItem,100,Integer,52823
PassPerItem,100,Integer,53916
PassPerItem,100,Integer,51561
PassPerItem,100,Integer,54082
PassPerItem,100,Integer,61576
PassPerItem,100,Integer,53015
PassPerItem,100,Integer,53044
PassPerItem,100,Integer,53223
PassPerItem,100,Integer,53498
PassPerItem,100,Integer,53227
PassPerItem,100,Integer,51914
PassPerItem,100,Integer,68142
PassPerItem,100,Integer,80647
PassPerItem,100,Integer,72342
PassPerItem,100,Integer,51964
PassPerItem,100,Integer,52022
PassPerItem,100,Integer,60538
PassPerItem,100,Integer,59057
PassPerItem,100,Integer,51870
PassPerItem,100,Integer,53723
PassPerItem,100,Integer,51031
PassPerItem,100,Integer,52882
PassPerItem,100,Integer,51377
PassPerItem,100,Integer,52848
PassPerItem,100,Integer,64684
PassPerItem,100,Integer,51955
PassPerItem,100,Integer,52936
PassPerItem,100,Integer,52327
PassPerItem,100,Integer,54001
PassPerItem,100,Integer,53194
PassPerItem,100,Integer,51192
PassPerItem,100,Integer,51029
PassPerItem,100,Integer,52933
PassPerItem,100,Integer,54008
PassPerItem,100,Integer,61924
PassPerItem,100,Integer,51193
PassPerItem,100,Integer,50691
PassPerItem,100,Integer,52303
PassPerItem,100,Integer,52773
PassPerItem,100,Integer,53045
PassPerItem,100,Integer,51775
PassPerItem,100,Integer,51794
PassPerItem,100,Integer,52272
PassPerItem,100,Integer,53309
PassPerItem,100,Integer,51827
PassPerItem,100,Integer,52713
PassPerItem,100,Integer,52055
PassPerItem,100,Integer,53250
PassPerItem,100,Integer,52425
PassPerItem,100,Integer,51022
PassPerItem,100,Integer,52893
PassPerItem,100,Integer,51842
PassPerItem,100,Integer,53429
PassPerItem,100,Integer,51928
PassPerItem,100,Integer,52721
PassPerItem,100,Integer,65471
PassPerItem,100,Integer,52768
PassPerItem,100,Integer,52226
PassPerItem,100,Integer,54687
PassPerItem,100,Integer,53065
PassPerItem,100,Integer,52085
PassPerItem,100,Integer,53294
PassPerItem,100,Integer,53381
PassPerItem,100,Integer,63467
PassPerItem,100,Integer,53174
PassPerItem,100,Integer,51381
PassPerItem,100,Integer,53058
PassPerItem,100,Integer,50775
PassPerItem,100,Integer,50646
PassPerItem,100,Integer,52906
PassPerItem,100,Integer,54033
PassPerItem,100,Integer,51661
PassPerItem,100,Integer,51694
PassPerItem,100,Integer,52659
PassPerItem,100,Integer,52876
PassPerItem,100,Integer,207118
PassPerItem,100,Integer,214334
PassPerItem,100,Integer,229123
PassPerItem,100,Integer,51736
PassPerItem,100,Integer,51716
PassPerItem,100,Integer,72777
PassPerItem,100,Integer,53135
PassPerItem,100,Integer,53316
PassPerItem,100,Integer,52888
PassPerItem,100,Integer,207343
PassPerItem,100,Integer,51510
PassPerItem,100,Integer,51334
PassPerItem,100,Integer,52835
PassPerItem,100,Integer,52612
PassPerItem,100,Integer,52149
PassPerItem,100,Integer,53714
PassPerItem,100,Integer,50421
PassPerItem,100,Integer,52168
PassPerItem,100,Integer,51731
UntileNoChange,100,Integer,507680
UntileNoChange,100,Integer,471676
UntileNoChange,100,Integer,453949
UntileNoChange,100,Integer,506494
UntileNoChange,100,Integer,487608
UntileNoChange,100,Integer,459765
UntileNoChange,100,Integer,519290
UntileNoChange,100,Integer,168296
UntileNoChange,100,Integer,127050
UntileNoChange,100,Integer,133456
UntileNoChange,100,Integer,127766
UntileNoChange,100,Integer,169251
UntileNoChange,100,Integer,120333
UntileNoChange,100,Integer,140787
UntileNoChange,100,Integer,117917
UntileNoChange,100,Integer,143984
UntileNoChange,100,Integer,133413
UntileNoChange,100,Integer,164800
UntileNoChange,100,Integer,181974
UntileNoChange,100,Integer,149414
UntileNoChange,100,Integer,128669
UntileNoChange,100,Integer,134041
UntileNoChange,100,Integer,126800
UntileNoChange,100,Integer,112521
UntileNoChange,100,Integer,111595
UntileNoChange,100,Integer,119997
UntileNoChange,100,Integer,134020
UntileNoChange,100,Integer,126432
UntileNoChange,100,Integer,123042
UntileNoChange,100,Integer,132436
UntileNoChange,100,Integer,121451
UntileNoChange,100,Integer,117278
UntileNoChange,100,Integer,118052
