Algorithm,Size,Type,Time (nanoseconds),,,,,,,,,
PassPerItem,100,Integer,52823,,Type,Algorithm,Size,Minimum (ns),First Quartile (ns),Median (ns),Third Quartile (ns),Maximum (ns)
PassPerItem,100,Integer,50533,,Integer,Ppi,100,49031,51515.75,52736,53945.25,95505
PassPerItem,100,Integer,52195,,Integer,Unc,100,50310,118706.75,130343,205791,800698
PassPerItem,100,Integer,51989,,Integer,Wn,100,65167,71946.75,77954.5,288496.5,507586
PassPerItem,100,Integer,53095,,Integer,Ppi,1000,9169742,9541958.5,9589327.5,9643041.5,11081426
PassPerItem,100,Integer,52814,,Integer,Unc,1000,9154049,10001680.75,10244721,10379435,11621551
PassPerItem,100,Integer,63620,,Integer,Wn,1000,5438497,5697699.25,5744576,5789281,6182904
PassPerItem,100,Integer,53252,,Integer,Ppi,5000,218450072,219676199.5,222031121.5,236642464.75,287952509
PassPerItem,100,Integer,52876,,Integer,Unc,5000,225384245,231465620.25,233995786,246977601.5,294343496
PassPerItem,100,Integer,54012,,Integer,Wn,5000,135107661,135914388.75,137273975.5,146697468.5,180580242
PassPerItem,100,Integer,52510,,,,,,,,,
PassPerItem,100,Integer,58497,,Byte,Ppi,100,54438,56209.25,56975,71530.25,1086218
PassPerItem,100,Integer,80103,,Byte,Unc,100,46384,51742,54851,128868,692779
PassPerItem,100,Integer,80257,,Bye,Wn,100,37319,39998.75,41825,114506.5,559822
PassPerItem,100,Integer,75982,,Byte,Ppi,1000,9618645,10046309.5,10111726.5,10839854.5,25477706
PassPerItem,100,Integer,82585,,Byte,Unc,1000,9404276,9945074.75,10211404,10860931.75,13120640
PassPerItem,100,Integer,66449,,Bye,Wn,1000,5389328,5637883,5697987.5,6019421.5,9713907
PassPerItem,100,Integer,51518,,Byte,Ppi,5000,216418487,218440151.25,220268624,222861402.25,275246846
PassPerItem,100,Integer,52786,,Byte,Unc,5000,221121313,225391060.5,228321183.5,233253961.25,299524325
PassPerItem,100,Integer,52665,,Bye,Wn,5000,130591057,132012102,133435008,136269870,159040652
PassPerItem,100,Integer,51421,,,,,,,,,
PassPerItem,100,Integer,52814,,String,Ppi,100,235128,237769.5,239540.5,247005.25,8101433
PassPerItem,100,Integer,52234,,String,Unc,100,2707,2757.75,2823.5,2982,14134
PassPerItem,100,Integer,51126,,String,Wn,100,2658,2726.75,2779.5,2990.25,11053
PassPerItem,100,Integer,54040,,String,Ppi,1000,125416450,129899175.75,130942675.5,132303212.25,158488908
PassPerItem,100,Integer,52758,,String,Unc,1000,124920,131197.5,131925,133243.25,427177
PassPerItem,100,Integer,52175,,String,Wn,1000,124950,130912.25,131712,132700.25,506468
PassPerItem,100,Integer,51945,,String,Ppi,5000,24635275488,25924622609.75,27040183636,28272501566.25,31318334486
PassPerItem,100,Integer,53412,,String,Unc,5000,4715370,5218960,5354167,5616197.5,6195414
PassPerItem,100,Integer,53923,,String,Wn,5000,4845606,5207872.25,5370258,5640077.25,6098393
PassPerItem,100,Integer,53705,,,,,,,,,
PassPerItem,100,Integer,53162,,,,,,,,,
PassPerItem,100,Integer,53131,,,,,,,,,
PassPerItem,100,Integer,52678,,,,,,,,,
PassPerItem,100,Integer,52523,,,,,,,,,
PassPerItem,100,Integer,52372,,,,,,,,,
PassPerItem,100,Integer,52025,,,,,,,,,
PassPerItem,100,Integer,54134,,,,,,,,,
PassPerItem,100,Integer,53500,,,,,,,,,
PassPerItem,100,Integer,57819,,,,,,,,,
PassPerItem,100,Integer,50883,,,,,,,,,
PassPerItem,100,Integer,51138,,,,,,,,,
PassPerItem,100,Integer,49637,,,,,,,,,
PassPerItem,100,Integer,52007,,,,,,,,,
PassPerItem,100,Integer,52124,,,,,,,,,
PassPerItem,100,Integer,49031,,,,,,,,,
PassPerItem,100,Integer,50777,,,,,,,,,
PassPerItem,100,Integer,49376,,,,,,,,,
PassPerItem,100,Integer,51226,,,,,,,,,
PassPerItem,100,Integer,49515,,,,,,,,,
PassPerItem,100,Integer,51467,,,,,,,,,
PassPerItem,100,Integer,67872,,,,,,,,,
PassPerItem,100,Integer,53078,,,,,,,,,
PassPerItem,100,Integer,52527,,,,,,,,,
PassPerItem,100,Integer,53809,,,,,,,,,
PassPerItem,100,Integer,50766,,,,,,,,,
PassPerItem,100,Integer,49580,,,,,,,,,
PassPerItem,100,Integer,51438,,,,,,,,,
PassPerItem,100,Integer,72554,,,,,,,,,
PassPerItem,100,Integer,52714,,,,,,,,,
PassPerItem,100,Integer,52364,,,,,,,,,
PassPerItem,100,Integer,52873,,,,,,,,,
PassPerItem,100,Integer,50880,,,,,,,,,
PassPerItem,100,Integer,52027,,,,,,,,,
PassPerItem,100,Integer,64180,,,,,,,,,
PassPerItem,100,Integer,94139,,,,,,,,,
PassPerItem,100,Integer,78816,,,,,,,,,
PassPerItem,100,Integer,81442,,,,,,,,,
PassPerItem,100,Integer,72265,,,,,,,,,
PassPerItem,100,Integer,85396,,,,,,,,,
PassPerItem,100,Integer,52201,,,,,,,,,
PassPerItem,100,Integer,51846,,,,,,,,,
PassPerItem,100,Integer,51961,,,,,,,,,
PassPerItem,100,Integer,50902,,,,,,,,,
PassPerItem,100,Integer,52322,,,,,,,,,
PassPerItem,100,Integer,52901,,,,,,,,,
PassPerItem,100,Integer,54483,,,,,,,,,
PassPerItem,100,Integer,81850,,,,,,,,,
PassPerItem,100,Integer,95505,,,,,,,,,
PassPerItem,100,Integer,52164,,,,,,,,,
PassPerItem,100,Integer,51096,,,,,,,,,
PassPerItem,100,Integer,53395,,,,,,,,,
PassPerItem,100,Integer,53565,,,,,,,,,
PassPerItem,100,Integer,51509,,,,,,,,,
PassPerItem,100,Integer,51640,,,,,,,,,
PassPerItem,100,Integer,50698,,,,,,,,,
PassPerItem,100,Integer,51600,,,,,,,,,
PassPerItem,100,Integer,53656,,,,,,,,,
PassPerItem,100,Integer,53351,,,,,,,,,
PassPerItem,100,Integer,52998,,,,,,,,,
PassPerItem,100,Integer,60741,,,,,,,,,
PassPerItem,100,Integer,74409,,,,,,,,,
PassPerItem,100,Integer,52764,,,,,,,,,
PassPerItem,100,Integer,51180,,,,,,,,,
PassPerItem,100,Integer,53657,,,,,,,,,
PassPerItem,100,Integer,69883,,,,,,,,,
PassPerItem,100,Integer,51169,,,,,,,,,
PassPerItem,100,Integer,50086,,,,,,,,,
PassPerItem,100,Integer,49952,,,,,,,,,
PassPerItem,100,Integer,49347,,,,,,,,,
UntilNoChange,100,Integer,538936,,,,,,,,,
UntilNoChange,100,Integer,515817,,,,,,,,,
UntilNoChange,100,Integer,506317,,,,,,,,,
UntilNoChange,100,Integer,470314,,,,,,,,,
UntilNoChange,100,Integer,462762,,,,,,,,,
UntilNoChange,100,Integer,447215,,,,,,,,,
UntilNoChange,100,Integer,514113,,,,,,,,,
UntilNoChange,100,Integer,201901,,,,,,,,,
UntilNoChange,100,Integer,137674,,,,,,,,,
UntilNoChange,100,Integer,131643,,,,,,,,,
UntilNoChange,100,Integer,114997,,,,,,,,,
UntilNoChange,100,Integer,169465,,,,,,,,,
UntilNoChange,100,Integer,203444,,,,,,,,,
UntilNoChange,100,Integer,212832,,,,,,,,,
UntilNoChange,100,Integer,178706,,,,,,,,,
UntilNoChange,100,Integer,154046,,,,,,,,,
UntilNoChange,100,Integer,138639,,,,,,,,,
UntilNoChange,100,Integer,125612,,,,,,,,,
UntilNoChange,100,Integer,126681,,,,,,,,,
UntilNoChange,100,Integer,125349,,,,,,,,,
UntilNoChange,100,Integer,130753,,,,,,,,,
UntilNoChange,100,Integer,128115,,,,,,,,,
UntilNoChange,100,Integer,131472,,,,,,,,,
UntilNoChange,100,Integer,107843,,,,,,,,,
UntilNoChange,100,Integer,134806,,,,,,,,,
UntilNoChange,100,Integer,115733,,,,,,,,,
UntilNoChange,100,Integer,130317,,,,,,,,,
UntilNoChange,100,Integer,122098,,,,,,,,,
UntilNoChange,100,Integer,129670,,,,,,,,,
UntilNoChange,100,Integer,131986,,,,,,,,,
UntilNoChange,100,Integer,134569,,,,,,,,,
UntilNoChange,100,Integer,124403,,,,,,,,,
UntilNoChange,100,Integer,528206,,,,,,,,,
UntilNoChange,100,Integer,120008,,,,,,,,,
UntilNoChange,100,Integer,126257,,,,,,,,,
UntilNoChange,100,Integer,114195,,,,,,,,,
UntilNoChange,100,Integer,120477,,,,,,,,,
UntilNoChange,100,Integer,125464,,,,,,,,,
UntilNoChange,100,Integer,130261,,,,,,,,,
UntilNoChange,100,Integer,133752,,,,,,,,,
UntilNoChange,100,Integer,116683,,,,,,,,,
UntilNoChange,100,Integer,118376,,,,,,,,,
UntilNoChange,100,Integer,124587,,,,,,,,,
UntilNoChange,100,Integer,124563,,,,,,,,,
UntilNoChange,100,Integer,118817,,,,,,,,,
UntilNoChange,100,Integer,109744,,,,,,,,,
UntilNoChange,100,Integer,121737,,,,,,,,,
UntilNoChange,100,Integer,104979,,,,,,,,,
UntilNoChange,100,Integer,116969,,,,,,,,,
UntilNoChange,100,Integer,107789,,,,,,,,,
UntilNoChange,100,Integer,126431,,,,,,,,,
UntilNoChange,100,Integer,119729,,,,,,,,,
UntilNoChange,100,Integer,122078,,,,,,,,,
UntilNoChange,100,Integer,136627,,,,,,,,,
UntilNoChange,100,Integer,183483,,,,,,,,,
UntilNoChange,100,Integer,130369,,,,,,,,,
UntilNoChange,100,Integer,106739,,,,,,,,,
UntilNoChange,100,Integer,129552,,,,,,,,,
UntilNoChange,100,Integer,133272,,,,,,,,,
UntilNoChange,100,Integer,125739,,,,,,,,,
UntilNoChange,100,Integer,129916,,,,,,,,,
UntilNoChange,100,Integer,112780,,,,,,,,,
UntilNoChange,100,Integer,114316,,,,,,,,,
UntilNoChange,100,Integer,114729,,,,,,,,,
UntilNoChange,100,Integer,156813,,,,,,,,,
UntilNoChange,100,Integer,185672,,,,,,,,,
UntilNoChange,100,Integer,179622,,,,,,,,,
UntilNoChange,100,Integer,190529,,,,,,,,,
UntilNoChange,100,Integer,175606,,,,,,,,,
UntilNoChange,100,Integer,158997,,,,,,,,,
UntilNoChange,100,Integer,156314,,,,,,,,,
UntilNoChange,100,Integer,112885,,,,,,,,,
UntilNoChange,100,Integer,115187,,,,,,,,,
UntilNoChange,100,Integer,121621,,,,,,,,,
UntilNoChange,100,Integer,109893,,,,,,,,,
UntilNoChange,100,Integer,127692,,,,,,,,,
UntilNoChange,100,Integer,685977,,,,,,,,,
UntilNoChange,100,Integer,800698,,,,,,,,,
UntilNoChange,100,Integer,663707,,,,,,,,,
UntilNoChange,100,Integer,516460,,,,,,,,,
UntilNoChange,100,Integer,444121,,,,,,,,,
UntilNoChange,100,Integer,496420,,,,,,,,,
UntilNoChange,100,Integer,538216,,,,,,,,,
UntilNoChange,100,Integer,500339,,,,,,,,,
UntilNoChange,100,Integer,490315,,,,,,,,,
UntilNoChange,100,Integer,548962,,,,,,,,,
UntilNoChange,100,Integer,476945,,,,,,,,,
UntilNoChange,100,Integer,565051,,,,,,,,,
UntilNoChange,100,Integer,522938,,,,,,,,,
UntilNoChange,100,Integer,517682,,,,,,,,,
UntilNoChange,100,Integer,706624,,,,,,,,,
UntilNoChange,100,Integer,699716,,,,,,,,,
UntilNoChange,100,Integer,53139,,,,,,,,,
UntilNoChange,100,Integer,51600,,,,,,,,,
UntilNoChange,100,Integer,57212,,,,,,,,,
UntilNoChange,100,Integer,55829,,,,,,,,,
UntilNoChange,100,Integer,56571,,,,,,,,,
UntilNoChange,100,Integer,52567,,,,,,,,,
UntilNoChange,100,Integer,50310,,,,,,,,,
UntilNoChange,100,Integer,52833,,,,,,,,,
WhileNeeded,100,Integer,387920,,,,,,,,,
WhileNeeded,100,Integer,279024,,,,,,,,,
WhileNeeded,100,Integer,299742,,,,,,,,,
WhileNeeded,100,Integer,288007,,,,,,,,,
WhileNeeded,100,Integer,287965,,,,,,,,,
WhileNeeded,100,Integer,342664,,,,,,,,,
WhileNeeded,100,Integer,293430,,,,,,,,,
WhileNeeded,100,Integer,317831,,,,,,,,,
WhileNeeded,100,Integer,305937,,,,,,,,,
WhileNeeded,100,Integer,307162,,,,,,,,,
WhileNeeded,100,Integer,285747,,,,,,,,,
WhileNeeded,100,Integer,391891,,,,,,,,,
WhileNeeded,100,Integer,507586,,,,,,,,,
WhileNeeded,100,Integer,201772,,,,,,,,,
WhileNeeded,100,Integer,143778,,,,,,,,,
WhileNeeded,100,Integer,71928,,,,,,,,,
WhileNeeded,100,Integer,71953,,,,,,,,,
WhileNeeded,100,Integer,71986,,,,,,,,,
WhileNeeded,100,Integer,73369,,,,,,,,,
WhileNeeded,100,Integer,72804,,,,,,,,,
WhileNeeded,100,Integer,80205,,,,,,,,,
WhileNeeded,100,Integer,80023,,,,,,,,,
WhileNeeded,100,Integer,74298,,,,,,,,,
WhileNeeded,100,Integer,68653,,,,,,,,,
WhileNeeded,100,Integer,86968,,,,,,,,,
WhileNeeded,100,Integer,79003,,,,,,,,,
WhileNeeded,100,Integer,72714,,,,,,,,,
WhileNeeded,100,Integer,71200,,,,,,,,,
WhileNeeded,100,Integer,96369,,,,,,,,,
WhileNeeded,100,Integer,74626,,,,,,,,,
WhileNeeded,100,Integer,74288,,,,,,,,,
WhileNeeded,100,Integer,74048,,,,,,,,,
WhileNeeded,100,Integer,74139,,,,,,,,,
WhileNeeded,100,Integer,72709,,,,,,,,,
WhileNeeded,100,Integer,72511,,,,,,,,,
WhileNeeded,100,Integer,80206,,,,,,,,,
WhileNeeded,100,Integer,70487,,,,,,,,,
WhileNeeded,100,Integer,74779,,,,,,,,,
WhileNeeded,100,Integer,72160,,,,,,,,,
WhileNeeded,100,Integer,68695,,,,,,,,,
WhileNeeded,100,Integer,67640,,,,,,,,,
WhileNeeded,100,Integer,69984,,,,,,,,,
WhileNeeded,100,Integer,69216,,,,,,,,,
WhileNeeded,100,Integer,70925,,,,,,,,,
WhileNeeded,100,Integer,72193,,,,,,,,,
WhileNeeded,100,Integer,65167,,,,,,,,,
WhileNeeded,100,Integer,69484,,,,,,,,,
WhileNeeded,100,Integer,67278,,,,,,,,,
WhileNeeded,100,Integer,68442,,,,,,,,,
WhileNeeded,100,Integer,66837,,,,,,,,,
WhileNeeded,100,Integer,70651,,,,,,,,,
WhileNeeded,100,Integer,72365,,,,,,,,,
