Subject,Task,Camel,No Separator
S1,1,2528,2654
S1,2,3169,5312
S1,3,1727,2240
S1,4,3646,10077
S1,5,3741,4483
S1,6,4806,19331
S1,7,4389,8529
S1,8,4024,6511
S1,9,4456,7538
S1,10,6148,8491
S2,1,2749,3551
S2,2,2034,4006
S2,3,1768,3064
S2,4,2924,3027
S2,5,1525,1563
S2,6,3182,3108
S2,7,3351,4107
S2,8,3895,5460
S2,9,9117,4063
S2,10,3475,6635
S3,1,1111,2329
S3,2,1283,1644
S3,3,903,2407
S3,4,2081,3524
S3,5,2302,1989
S3,6,2126,3098
S3,7,3357,4021
S3,8,2112,2497
S3,9,6522,5059
S3,10,2701,4603
S4,1,1550,3901
S4,2,1490,2420
S4,3,1008,1120
S4,4,1448,2914
S4,5,1468,1419
S4,6,1141,3018
S4,7,1734,2774
S4,8,922,2752
S4,9,2019,1986
S4,10,2985,1902
S5,1,1332,1994
S5,2,1319,2713
S5,3,2211,1336
S5,4,1541,2372
S5,5,1627,2102
S5,6,1201,3142
S5,7,1638,1667
S5,8,1902,2748
S5,9,1561,3815
S5,10,3094,4395
S6,1,1161,1789
S6,2,1421,662
S6,3,3906,2941
S6,4,901,762
S6,5,892,2409
S6,6,2728,3812
S6,7,1760,3998
S6,8,1029,5705
S6,9,2570,2041
S6,10,1503,4892
S7,1,1340,2321
S7,2,3003,3074
S7,3,1929,3389
S7,4,1979,2601
S7,5,1661,1944
S7,6,4928,3495
S7,7,3551,5177
S7,8,2998,7829
S7,9,6198,3502
S7,10,3791,5115
S8,1,4302,4055
S8,2,3174,2565
S8,3,2682,2354
S8,4,4336,3001
S8,5,2688,2398
S8,6,2985,5364
S8,7,2749,11261
S8,8,2031,6058
S8,9,2095,3870
S8,10,4147,14397
S9,1,2460,3037
S9,2,6097,2916
S9,3,1989,1700
S9,4,3600,5014
S9,5,2547,3407
S9,6,4527,6007
S9,7,5801,8849
S9,8,4771,6559
S9,9,4982,12899
S9,10,8981,8418
S10,1,2079,1697
S10,2,1486,1386
S10,3,1859,1705
S10,4,1181,2644
S10,5,1255,2347
S10,6,1950,2237
S10,7,1322,1587
S10,8,1050,5438
S10,9,1430,1337
S10,10,3537,4825
S11,1,2889,4062
S11,2,2761,2996
S11,3,1989,2222
S11,4,2335,4908
S11,5,2159,3546
S11,6,3775,10667
S11,7,6177,10477
S11,8,3180,5688
S11,9,5245,6119
S11,10,8438,7167
S12,1,1305,2499
S12,2,985,2040
S12,3,2190,1872
S12,4,4365,2533
S12,5,1181,5467
S12,6,3803,2369
S12,7,1719,2178
S12,8,6093,4780
S12,9,2346,1958
S12,10,2923,1964
S13,1,2884,3712
S13,2,3234,1602
S13,3,2203,3459
S13,4,1826,5021
S13,5,3459,3874
S13,6,3419,6244
S13,7,1815,6444
S13,8,2714,10999
S13,9,1622,8635
S13,10,5443,4308
S14,1,2010,2157
S14,2,2244,4206
S14,3,2126,2122
S14,4,1915,2077
S14,5,14599,3821
S14,6,2387,7895
S14,7,3533,5570
S14,8,3844,6025
S14,9,3344,2051
S14,10,3219,6811
S15,1,1878,1989
S15,2,2229,2486
S15,3,1786,1908
S15,4,961,1293
S15,5,1923,1722
S15,6,1646,2857
S15,7,2392,4296
S15,8,1240,3176
S15,9,1207,2102
S15,10,2472,3877
