Subject,Task,Camel,Kebab
S1,1,2528,2072
S1,2,3169,4072
S1,3,1727,3010
S1,4,3646,6396
S1,5,3741,4191
S1,6,4806,10426
S1,7,4389,4236
S1,8,4024,7283
S1,9,4456,3241
S1,10,6148,12495
S2,1,2749,10519
S2,2,2034,2857
S2,3,1768,1990
S2,4,2924,3730
S2,5,1525,3102
S2,6,3182,5229
S2,7,3351,2919
S2,8,3895,12555
S2,9,9117,1910
S2,10,3475,3398
S3,1,1111,2266
S3,2,1283,2040
S3,3,903,1615
S3,4,2081,2204
S3,5,2302,2062
S3,6,2126,3602
S3,7,3357,2048
S3,8,2112,1606
S3,9,6522,1611
S3,10,2701,895
S4,1,1550,1023
S4,2,1490,1457
S4,3,1008,1882
S4,4,1448,1118
S4,5,1468,1554
S4,6,1141,1422
S4,7,1734,1734
S4,8,922,2103
S4,9,2019,1602
S4,10,2985,1428
S5,1,1332,1153
S5,2,1319,2145
S5,3,2211,2407
S5,4,1541,5666
S5,5,1627,3166
S5,6,1201,1619
S5,7,1638,4848
S5,8,1902,2796
S5,9,1561,2534
S5,10,3094,2085
S6,1,1161,1441
S6,2,1421,1329
S6,3,3906,1391
S6,4,901,1067
S6,5,892,1395
S6,6,2728,1180
S6,7,1760,2612
S6,8,1029,3145
S6,9,2570,1089
S6,10,1503,2367
S7,1,1340,3437
S7,2,3003,1437
S7,3,1929,4695
S7,4,1979,2993
S7,5,1661,3463
S7,6,4928,4165
S7,7,3551,6954
S7,8,2998,4054
S7,9,6198,3904
S7,10,3791,2107
S8,1,4302,1855
S8,2,3174,1680
S8,3,2682,2542
S8,4,4336,3118
S8,5,2688,4763
S8,6,2985,1952
S8,7,2749,4354
S8,8,2031,6758
S8,9,2095,3058
S8,10,4147,3559
S9,1,2460,2312
S9,2,6097,3225
S9,3,1989,6459
S9,4,3600,8519
S9,5,2547,7313
S9,6,4527,3243
S9,7,5801,2936
S9,8,4771,4818
S9,9,4982,6573
S9,10,8981,5315
S10,1,2079,1575
S10,2,1486,1731
S10,3,1859,1503
S10,4,1181,1906
S10,5,1255,1060
S10,6,1950,1001
S10,7,1322,3214
S10,8,1050,1314
S10,9,1430,1528
S10,10,3537,2907
S11,1,2889,3144
S11,2,2761,1934
S11,3,1989,3370
S11,4,2335,3824
S11,5,2159,2697
S11,6,3775,8938
S11,7,6177,3293
S11,8,3180,3177
S11,9,5245,2186
S11,10,8438,4954
S12,1,1305,1236
S12,2,985,1929
S12,3,2190,2288
S12,4,4365,2223
S12,5,1181,2381
S12,6,3803,4462
S12,7,1719,3741
S12,8,6093,2465
S12,9,2346,3328
S12,10,2923,1847
S13,1,2884,1778
S13,2,3234,6049
S13,3,2203,2713
S13,4,1826,1934
S13,5,3459,1965
S13,6,3419,7217
S13,7,1815,3337
S13,8,2714,2701
S13,9,1622,1912
S13,10,5443,10046
S14,1,2010,1700
S14,2,2244,2852
S14,3,2126,2016
S14,4,1915,1641
S14,5,14599,2193
S14,6,2387,9370
S14,7,3533,2123
S14,8,3844,3015
S14,9,3344,2627
S14,10,3219,2255
S15,1,1878,1148
S15,2,2229,1097
S15,3,1786,1405
S15,4,961,1134
S15,5,1923,2217
S15,6,1646,6000
S15,7,2392,1849
S15,8,1240,2031
S15,9,1207,2195
S15,10,2472,1446
