Question,Time
NS1,2654
NS1,3551
NS1,2329
NS1,3901
NS1,1994
NS1,1789
NS1,2321
NS1,4055
NS1,3037
NS1,1697
NS1,4062
NS1,2499
NS1,3712
NS1,2157
NS1,1989
NS2,5312
NS2,4006
NS2,1644
NS2,2420
NS2,2713
NS2,662
NS2,3074
NS2,2565
NS2,2916
NS2,1386
NS2,2996
NS2,2040
NS2,1602
NS2,4206
NS2,2486
NS3,2240
NS3,3064
NS3,2407
NS3,1120
NS3,1336
NS3,2941
NS3,3389
NS3,2354
NS3,1700
NS3,1705
NS3,2222
NS3,1872
NS3,3459
NS3,2122
NS3,1908
NS4,10077
NS4,3027
NS4,3524
NS4,2914
NS4,2372
NS4,762
NS4,2601
NS4,3001
NS4,5014
NS4,2644
NS4,4908
NS4,2533
NS4,5021
NS4,2077
NS4,1293
NS5,4483
NS5,1563
NS5,1989
NS5,1419
NS5,2102
NS5,2409
NS5,1944
NS5,2398
NS5,3407
NS5,2347
NS5,3546
NS5,5467
NS5,3874
NS5,3821
NS5,1722
NS6,19331
NS6,3108
NS6,3098
NS6,3018
NS6,3142
NS6,3812
NS6,3495
NS6,5364
NS6,6007
NS6,2237
NS6,10667
NS6,2369
NS6,6244
NS6,7895
NS6,2857
NS7,8529
NS7,4107
NS7,4021
NS7,2774
NS7,1667
NS7,3998
NS7,5177
NS7,11261
NS7,8849
NS7,1587
NS7,10477
NS7,2178
NS7,6444
NS7,5570
NS7,4296
NS8,6511
NS8,5460
NS8,2497
NS8,2752
NS8,2748
NS8,5705
NS8,7829
NS8,6058
NS8,6559
NS8,5438
NS8,5688
NS8,4780
NS8,10999
NS8,6025
NS8,3176
NS9,7538
NS9,4063
NS9,5059
NS9,1986
NS9,3815
NS9,2041
NS9,3502
NS9,3870
NS9,12899
NS9,1337
NS9,6119
NS9,1958
NS9,8635
NS9,2051
NS9,2102
NS10,8491
NS10,6635
NS10,4603
NS10,1902
NS10,4395
NS10,4892
NS10,5115
NS10,14397
NS10,8418
NS10,4825
NS10,7167
NS10,1964
NS10,4308
NS10,6811
NS10,3877
