Question,Time
KC1,2072
KC1,10519
KC1,2266
KC1,1023
KC1,1153
KC1,1441
KC1,3437
KC1,1855
KC1,2312
KC1,1575
KC1,3144
KC1,1236
KC1,1778
KC1,1700
KC1,1148
KC2,4072
KC2,2857
KC2,2040
KC2,1457
KC2,2145
KC2,1329
KC2,1437
KC2,1680
KC2,3225
KC2,1731
KC2,1934
KC2,1929
KC2,6049
KC2,2852
KC2,1097
KC3,3010
KC3,1990
KC3,1615
KC3,1882
KC3,2407
KC3,1391
KC3,4695
KC3,2542
KC3,6459
KC3,1503
KC3,3370
KC3,2288
KC3,2713
KC3,2016
KC3,1405
KC4,6396
KC4,3730
KC4,2204
KC4,1118
KC4,5666
KC4,1067
KC4,2993
KC4,3118
KC4,8519
KC4,1906
KC4,3824
KC4,2223
KC4,1934
KC4,1641
KC4,1134
KC5,4191
KC5,3102
KC5,2062
KC5,1554
KC5,3166
KC5,1395
KC5,3463
KC5,4763
KC5,7313
KC5,1060
KC5,2697
KC5,2381
KC5,1965
KC5,2193
KC5,2217
KC6,10426
KC6,5229
KC6,3602
KC6,1422
KC6,1619
KC6,1180
KC6,4165
KC6,1952
KC6,3243
KC6,1001
KC6,8938
KC6,4462
KC6,7217
KC6,9370
KC6,6000
KC7,4236
KC7,2919
KC7,2048
KC7,1734
KC7,4848
KC7,2612
KC7,6954
KC7,4354
KC7,2936
KC7,3214
KC7,3293
KC7,3741
KC7,3337
KC7,2123
KC7,1849
KC8,7283
KC8,12555
KC8,1606
KC8,2103
KC8,2796
KC8,3145
KC8,4054
KC8,6758
KC8,4818
KC8,1314
KC8,3177
KC8,2465
KC8,2701
KC8,3015
KC8,2031
KC9,3241
KC9,1910
KC9,1611
KC9,1602
KC9,2534
KC9,1089
KC9,3904
KC9,3058
KC9,6573
KC9,1528
KC9,2186
KC9,3328
KC9,1912
KC9,2627
KC9,2195
KC10,12495
KC10,3398
KC10,895
KC10,1428
KC10,2085
KC10,2367
KC10,2107
KC10,3559
KC10,5315
KC10,2907
KC10,4954
KC10,1847
KC10,10046
KC10,2255
KC10,1446
