Case,Time (ms)
CamelCase,2528
CamelCase,2749
CamelCase,1111
CamelCase,1550
CamelCase,1332
CamelCase,1161
CamelCase,1340
CamelCase,4302
CamelCase,2460
CamelCase,2079
CamelCase,2889
CamelCase,1305
CamelCase,2884
CamelCase,2010
CamelCase,1878
CamelCase,3169
CamelCase,2034
CamelCase,1283
CamelCase,1490
CamelCase,1319
CamelCase,1421
CamelCase,3003
CamelCase,3174
CamelCase,6097
CamelCase,1486
CamelCase,2761
CamelCase,985
CamelCase,3234
CamelCase,2244
CamelCase,2229
CamelCase,1727
CamelCase,1768
CamelCase,903
CamelCase,1008
CamelCase,2211
CamelCase,3906
CamelCase,1929
CamelCase,2682
CamelCase,1989
CamelCase,1859
CamelCase,1989
CamelCase,2190
CamelCase,2203
CamelCase,2126
CamelCase,1786
CamelCase,3646
CamelCase,2924
CamelCase,2081
CamelCase,1448
CamelCase,1541
CamelCase,901
CamelCase,1979
CamelCase,4336
CamelCase,3600
CamelCase,1181
CamelCase,2335
CamelCase,4365
CamelCase,1826
CamelCase,1915
CamelCase,961
CamelCase,3741
CamelCase,1525
CamelCase,2302
CamelCase,1468
CamelCase,1627
CamelCase,892
CamelCase,1661
CamelCase,2688
CamelCase,2547
CamelCase,1255
CamelCase,2159
CamelCase,1181
CamelCase,3459
CamelCase,14599
CamelCase,1923
CamelCase,4806
CamelCase,3182
CamelCase,2126
CamelCase,1141
CamelCase,1201
CamelCase,2728
CamelCase,4928
CamelCase,2985
CamelCase,4527
CamelCase,1950
CamelCase,3775
CamelCase,3803
CamelCase,3419
CamelCase,2387
CamelCase,1646
CamelCase,4389
CamelCase,3351
CamelCase,3357
CamelCase,1734
CamelCase,1638
CamelCase,1760
CamelCase,3551
CamelCase,2749
CamelCase,5801
CamelCase,1322
CamelCase,6177
CamelCase,1719
CamelCase,1815
CamelCase,3533
CamelCase,2392
CamelCase,4024
CamelCase,3895
CamelCase,2112
CamelCase,922
CamelCase,1902
CamelCase,1029
CamelCase,2998
CamelCase,2031
CamelCase,4771
CamelCase,1050
CamelCase,3180
CamelCase,6093
CamelCase,2714
CamelCase,3844
CamelCase,1240
CamelCase,4456
CamelCase,9117
CamelCase,6522
CamelCase,2019
CamelCase,1561
CamelCase,2570
CamelCase,6198
CamelCase,2095
CamelCase,4982
CamelCase,1430
CamelCase,5245
CamelCase,2346
CamelCase,1622
CamelCase,3344
CamelCase,1207
CamelCase,6148
CamelCase,3475
CamelCase,2701
CamelCase,2985
CamelCase,3094
CamelCase,1503
CamelCase,3791
CamelCase,4147
CamelCase,8981
CamelCase,3537
CamelCase,8438
CamelCase,2923
CamelCase,5443
CamelCase,3219
CamelCase,2472
NoSeparator,2654
NoSeparator,3551
NoSeparator,2329
NoSeparator,3901
NoSeparator,1994
NoSeparator,1789
NoSeparator,2321
NoSeparator,4055
NoSeparator,3037
NoSeparator,1697
NoSeparator,4062
NoSeparator,2499
NoSeparator,3712
NoSeparator,2157
NoSeparator,1989
NoSeparator,5312
NoSeparator,4006
NoSeparator,1644
NoSeparator,2420
NoSeparator,2713
NoSeparator,662
NoSeparator,3074
NoSeparator,2565
NoSeparator,2916
NoSeparator,1386
NoSeparator,2996
NoSeparator,2040
NoSeparator,1602
NoSeparator,4206
NoSeparator,2486
NoSeparator,2240
NoSeparator,3064
NoSeparator,2407
NoSeparator,1120
NoSeparator,1336
NoSeparator,2941
NoSeparator,3389
NoSeparator,2354
NoSeparator,1700
NoSeparator,1705
NoSeparator,2222
NoSeparator,1872
NoSeparator,3459
NoSeparator,2122
NoSeparator,1908
NoSeparator,10077
NoSeparator,3027
NoSeparator,3524
NoSeparator,2914
NoSeparator,2372
NoSeparator,762
NoSeparator,2601
NoSeparator,3001
NoSeparator,5014
NoSeparator,2644
NoSeparator,4908
NoSeparator,2533
NoSeparator,5021
NoSeparator,2077
NoSeparator,1293
NoSeparator,4483
NoSeparator,1563
NoSeparator,1989
NoSeparator,1419
NoSeparator,2102
NoSeparator,2409
NoSeparator,1944
NoSeparator,2398
NoSeparator,3407
NoSeparator,2347
NoSeparator,3546
NoSeparator,5467
NoSeparator,3874
NoSeparator,3821
NoSeparator,1722
NoSeparator,19331
NoSeparator,3108
NoSeparator,3098
NoSeparator,3018
NoSeparator,3142
NoSeparator,3812
NoSeparator,3495
NoSeparator,5364
NoSeparator,6007
NoSeparator,2237
NoSeparator,10667
NoSeparator,2369
NoSeparator,6244
NoSeparator,7895
NoSeparator,2857
NoSeparator,8529
NoSeparator,4107
NoSeparator,4021
NoSeparator,2774
NoSeparator,1667
NoSeparator,3998
NoSeparator,5177
NoSeparator,11261
NoSeparator,8849
NoSeparator,1587
NoSeparator,10477
NoSeparator,2178
NoSeparator,6444
NoSeparator,5570
NoSeparator,4296
NoSeparator,6511
NoSeparator,5460
NoSeparator,2497
NoSeparator,2752
NoSeparator,2748
NoSeparator,5705
NoSeparator,7829
NoSeparator,6058
NoSeparator,6559
NoSeparator,5438
NoSeparator,5688
NoSeparator,4780
NoSeparator,10999
NoSeparator,6025
NoSeparator,3176
NoSeparator,7538
NoSeparator,4063
NoSeparator,5059
NoSeparator,1986
NoSeparator,3815
NoSeparator,2041
NoSeparator,3502
NoSeparator,3870
NoSeparator,12899
NoSeparator,1337
NoSeparator,6119
NoSeparator,1958
NoSeparator,8635
NoSeparator,2051
NoSeparator,2102
NoSeparator,8491
NoSeparator,6635
NoSeparator,4603
NoSeparator,1902
NoSeparator,4395
NoSeparator,4892
NoSeparator,5115
NoSeparator,14397
NoSeparator,8418
NoSeparator,4825
NoSeparator,7167
NoSeparator,1964
NoSeparator,4308
NoSeparator,6811
NoSeparator,3877
