Case,Time (ms)
CamelCase,2528
CamelCase,2749
CamelCase,1111
CamelCase,1550
CamelCase,1332
CamelCase,1161
CamelCase,1340
CamelCase,4302
CamelCase,2460
CamelCase,2079
CamelCase,2889
CamelCase,1305
CamelCase,2884
CamelCase,2010
CamelCase,1878
CamelCase,3169
CamelCase,2034
CamelCase,1283
CamelCase,1490
CamelCase,1319
CamelCase,1421
CamelCase,3003
CamelCase,3174
CamelCase,6097
CamelCase,1486
CamelCase,2761
CamelCase,985
CamelCase,3234
CamelCase,2244
CamelCase,2229
CamelCase,1727
CamelCase,1768
CamelCase,903
CamelCase,1008
CamelCase,2211
CamelCase,3906
CamelCase,1929
CamelCase,2682
CamelCase,1989
CamelCase,1859
CamelCase,1989
CamelCase,2190
CamelCase,2203
CamelCase,2126
CamelCase,1786
CamelCase,3646
CamelCase,2924
CamelCase,2081
CamelCase,1448
CamelCase,1541
CamelCase,901
CamelCase,1979
CamelCase,4336
CamelCase,3600
CamelCase,1181
CamelCase,2335
CamelCase,4365
CamelCase,1826
CamelCase,1915
CamelCase,961
CamelCase,3741
CamelCase,1525
CamelCase,2302
CamelCase,1468
CamelCase,1627
CamelCase,892
CamelCase,1661
CamelCase,2688
CamelCase,2547
CamelCase,1255
CamelCase,2159
CamelCase,1181
CamelCase,3459
CamelCase,14599
CamelCase,1923
CamelCase,4806
CamelCase,3182
CamelCase,2126
CamelCase,1141
CamelCase,1201
CamelCase,2728
CamelCase,4928
CamelCase,2985
CamelCase,4527
CamelCase,1950
CamelCase,3775
CamelCase,3803
CamelCase,3419
CamelCase,2387
CamelCase,1646
CamelCase,4389
CamelCase,3351
CamelCase,3357
CamelCase,1734
CamelCase,1638
CamelCase,1760
CamelCase,3551
CamelCase,2749
CamelCase,5801
CamelCase,1322
CamelCase,6177
CamelCase,1719
CamelCase,1815
CamelCase,3533
CamelCase,2392
CamelCase,4024
CamelCase,3895
CamelCase,2112
CamelCase,922
CamelCase,1902
CamelCase,1029
CamelCase,2998
CamelCase,2031
CamelCase,4771
CamelCase,1050
CamelCase,3180
CamelCase,6093
CamelCase,2714
CamelCase,3844
CamelCase,1240
CamelCase,4456
CamelCase,9117
CamelCase,6522
CamelCase,2019
CamelCase,1561
CamelCase,2570
CamelCase,6198
CamelCase,2095
CamelCase,4982
CamelCase,1430
CamelCase,5245
CamelCase,2346
CamelCase,1622
CamelCase,3344
CamelCase,1207
CamelCase,6148
CamelCase,3475
CamelCase,2701
CamelCase,2985
CamelCase,3094
CamelCase,1503
CamelCase,3791
CamelCase,4147
CamelCase,8981
CamelCase,3537
CamelCase,8438
CamelCase,2923
CamelCase,5443
CamelCase,3219
CamelCase,2472
KebabCase,2072
KebabCase,10519
KebabCase,2266
KebabCase,1023
KebabCase,1153
KebabCase,1441
KebabCase,3437
KebabCase,1855
KebabCase,2312
KebabCase,1575
KebabCase,3144
KebabCase,1236
KebabCase,1778
KebabCase,1700
KebabCase,1148
KebabCase,4072
KebabCase,2857
KebabCase,2040
KebabCase,1457
KebabCase,2145
KebabCase,1329
KebabCase,1437
KebabCase,1680
KebabCase,3225
KebabCase,1731
KebabCase,1934
KebabCase,1929
KebabCase,6049
KebabCase,2852
KebabCase,1097
KebabCase,3010
KebabCase,1990
KebabCase,1615
KebabCase,1882
KebabCase,2407
KebabCase,1391
KebabCase,4695
KebabCase,2542
KebabCase,6459
KebabCase,1503
KebabCase,3370
KebabCase,2288
KebabCase,2713
KebabCase,2016
KebabCase,1405
KebabCase,6396
KebabCase,3730
KebabCase,2204
KebabCase,1118
KebabCase,5666
KebabCase,1067
KebabCase,2993
KebabCase,3118
KebabCase,8519
KebabCase,1906
KebabCase,3824
KebabCase,2223
KebabCase,1934
KebabCase,1641
KebabCase,1134
KebabCase,4191
KebabCase,3102
KebabCase,2062
KebabCase,1554
KebabCase,3166
KebabCase,1395
KebabCase,3463
KebabCase,4763
KebabCase,7313
KebabCase,1060
KebabCase,2697
KebabCase,2381
KebabCase,1965
KebabCase,2193
KebabCase,2217
KebabCase,10426
KebabCase,5229
KebabCase,3602
KebabCase,1422
KebabCase,1619
KebabCase,1180
KebabCase,4165
KebabCase,1952
KebabCase,3243
KebabCase,1001
KebabCase,8938
KebabCase,4462
KebabCase,7217
KebabCase,9370
KebabCase,6000
KebabCase,4236
KebabCase,2919
KebabCase,2048
KebabCase,1734
KebabCase,4848
KebabCase,2612
KebabCase,6954
KebabCase,4354
KebabCase,2936
KebabCase,3214
KebabCase,3293
KebabCase,3741
KebabCase,3337
KebabCase,2123
KebabCase,1849
KebabCase,7283
KebabCase,12555
KebabCase,1606
KebabCase,2103
KebabCase,2796
KebabCase,3145
KebabCase,4054
KebabCase,6758
KebabCase,4818
KebabCase,1314
KebabCase,3177
KebabCase,2465
KebabCase,2701
KebabCase,3015
KebabCase,2031
KebabCase,3241
KebabCase,1910
KebabCase,1611
KebabCase,1602
KebabCase,2534
KebabCase,1089
KebabCase,3904
KebabCase,3058
KebabCase,6573
KebabCase,1528
KebabCase,2186
KebabCase,3328
KebabCase,1912
KebabCase,2627
KebabCase,2195
KebabCase,12495
KebabCase,3398
KebabCase,895
KebabCase,1428
KebabCase,2085
KebabCase,2367
KebabCase,2107
KebabCase,3559
KebabCase,5315
KebabCase,2907
KebabCase,4954
KebabCase,1847
KebabCase,10046
KebabCase,2255
KebabCase,1446
