Case,Time (ms)
KebabCase,2072
KebabCase,10519
KebabCase,2266
KebabCase,1023
KebabCase,1153
KebabCase,1441
KebabCase,3437
KebabCase,1855
KebabCase,2312
KebabCase,1575
KebabCase,3144
KebabCase,1236
KebabCase,1778
KebabCase,1700
KebabCase,1148
KebabCase,4072
KebabCase,2857
KebabCase,2040
KebabCase,1457
KebabCase,2145
KebabCase,1329
KebabCase,1437
KebabCase,1680
KebabCase,3225
KebabCase,1731
KebabCase,1934
KebabCase,1929
KebabCase,6049
KebabCase,2852
KebabCase,1097
KebabCase,3010
KebabCase,1990
KebabCase,1615
KebabCase,1882
KebabCase,2407
KebabCase,1391
KebabCase,4695
KebabCase,2542
KebabCase,6459
KebabCase,1503
KebabCase,3370
KebabCase,2288
KebabCase,2713
KebabCase,2016
KebabCase,1405
KebabCase,6396
KebabCase,3730
KebabCase,2204
KebabCase,1118
KebabCase,5666
KebabCase,1067
KebabCase,2993
KebabCase,3118
KebabCase,8519
KebabCase,1906
KebabCase,3824
KebabCase,2223
KebabCase,1934
KebabCase,1641
KebabCase,1134
KebabCase,4191
KebabCase,3102
KebabCase,2062
KebabCase,1554
KebabCase,3166
KebabCase,1395
KebabCase,3463
KebabCase,4763
KebabCase,7313
KebabCase,1060
KebabCase,2697
KebabCase,2381
KebabCase,1965
KebabCase,2193
KebabCase,2217
KebabCase,10426
KebabCase,5229
KebabCase,3602
KebabCase,1422
KebabCase,1619
KebabCase,1180
KebabCase,4165
KebabCase,1952
KebabCase,3243
KebabCase,1001
KebabCase,8938
KebabCase,4462
KebabCase,7217
KebabCase,9370
KebabCase,6000
KebabCase,4236
KebabCase,2919
KebabCase,2048
KebabCase,1734
KebabCase,4848
KebabCase,2612
KebabCase,6954
KebabCase,4354
KebabCase,2936
KebabCase,3214
KebabCase,3293
KebabCase,3741
KebabCase,3337
KebabCase,2123
KebabCase,1849
KebabCase,7283
KebabCase,12555
KebabCase,1606
KebabCase,2103
KebabCase,2796
KebabCase,3145
KebabCase,4054
KebabCase,6758
KebabCase,4818
KebabCase,1314
KebabCase,3177
KebabCase,2465
KebabCase,2701
KebabCase,3015
KebabCase,2031
KebabCase,3241
KebabCase,1910
KebabCase,1611
KebabCase,1602
KebabCase,2534
KebabCase,1089
KebabCase,3904
KebabCase,3058
KebabCase,6573
KebabCase,1528
KebabCase,2186
KebabCase,3328
KebabCase,1912
KebabCase,2627
KebabCase,2195
KebabCase,12495
KebabCase,3398
KebabCase,895
KebabCase,1428
KebabCase,2085
KebabCase,2367
KebabCase,2107
KebabCase,3559
KebabCase,5315
KebabCase,2907
KebabCase,4954
KebabCase,1847
KebabCase,10046
KebabCase,2255
KebabCase,1446
NoSeparator,2654
NoSeparator,3551
NoSeparator,2329
NoSeparator,3901
NoSeparator,1994
NoSeparator,1789
NoSeparator,2321
NoSeparator,4055
NoSeparator,3037
NoSeparator,1697
NoSeparator,4062
